X, Function_0
0.000000	,1.564258
1024.000000	,3.328322
2048.000000	,6.893828
3072.000000	,10.126563
4096.000000	,13.306328
5120.000000	,16.335938
6144.000000	,19.903281
7168.000000	,23.183750
8192.000000	,26.565391
9216.000000	,29.496641
10240.000000,	32.761953
11264.000000,	36.211875
12288.000000,	39.263750
13312.000000,	42.203906
14336.000000,	45.315781
15360.000000,	48.604062
16384.000000,	51.196484
17408.000000,	54.808203
18432.000000,	57.976328
19456.000000,	60.719609
20480.000000,	63.762109
21504.000000,	67.283437
22528.000000,	70.071953
23552.000000,	73.159219
24576.000000,	76.026016
25600.000000,	79.069844
26624.000000,	81.897266
27648.000000,	84.854375
28672.000000,	87.410156
29696.000000,	90.485625
30720.000000,	93.185781
31744.000000,	95.832578
32768.000000,	99.246406
33792.000000,	101.591641
34816.000000,	104.465781
35840.000000,	106.987109
36864.000000,	109.659063
37888.000000,	112.340547
38912.000000,	114.500391
39936.000000,	117.292969
40960.000000,	119.785234
41984.000000,	122.178359
43008.000000,	124.418984
44032.000000,	127.126953
45056.000000,	129.465625
46080.000000,	131.806016
47104.000000,	134.102422
48128.000000,	136.397969
49152.000000,	138.785781
50176.000000,	140.681328
51200.000000,	143.519375
52224.000000,	145.233750
53248.000000,	147.498594
54272.000000,	149.830078
55296.000000,	151.742422
56320.000000,	153.977656
57344.000000,	155.961016
58368.000000,	157.944531
59392.000000,	159.767578
60416.000000,	161.861641
61440.000000,	163.715859
62464.000000,	165.762031
63488.000000,	167.470469
64512.000000,	169.348281
65536.000000,	171.829219
66560.000000,	173.481172
67584.000000,	175.156016
68608.000000,	176.603359
69632.000000,	178.407500
70656.000000,	179.947422
71680.000000,	181.935859
72704.000000,	183.571875
73728.000000,	185.017578
74752.000000,	186.649219
75776.000000,	188.144063
76800.000000,	189.558047
77824.000000,	191.245234
78848.000000,	192.342969
79872.000000,	194.062734
80896.000000,	195.066406
81920.000000,	196.471328
82944.000000,	198.105078
83968.000000,	199.216250
84992.000000,	200.655625
86016.000000,	201.840937
87040.000000,	203.241953
88064.000000,	204.306328
89088.000000,	205.606719
90112.000000,	206.705625
91136.000000,	207.821328
92160.000000,	208.991484
93184.000000,	209.952188
94208.000000,	211.018672
95232.000000,	212.011016
96256.000000,	212.976172
97280.000000,	213.987266
98304.000000,	215.262969
99328.000000,	216.307109
100352.000000,	217.187344
101376.000000,	217.935234
102400.000000,	218.771094
103424.000000,	219.803359
104448.000000,	220.697891
105472.000000,	221.552188
106496.000000,	222.312969
107520.000000,	223.137500
108544.000000,	223.776328
109568.000000,	224.703984
110592.000000,	225.467187
111616.000000,	226.017500
112640.000000,	226.609297
113664.000000,	227.265859
114688.000000,	227.946562
115712.000000,	228.618281
116736.000000,	229.219531
117760.000000,	229.950625
118784.000000,	230.512500
119808.000000,	231.036719
120832.000000,	231.660313
121856.000000,	232.269844
122880.000000,	232.685000
123904.000000,	233.235078
124928.000000,	233.649141
125952.000000,	234.119063
126976.000000,	234.722891
128000.000000,	235.156797
129024.000000,	235.621406
130048.000000,	236.142969
131072.000000,	236.388984
132096.000000,	236.928281
133120.000000,	237.090000
134144.000000,	237.252969
135168.000000,	237.865469
136192.000000,	237.888047
137216.000000,	238.392812
138240.000000,	238.876875
139264.000000,	239.217109
140288.000000,	239.594063
141312.000000,	239.931484
142336.000000,	240.289922
143360.000000,	240.635156
144384.000000,	241.005937
145408.000000,	241.417266
146432.000000,	241.700312
147456.000000,	241.973594
148480.000000,	242.351094
149504.000000,	242.316484
150528.000000,	242.237188
151552.000000,	242.458906
152576.000000,	242.793906
153600.000000,	243.508281
154624.000000,	244.007656
155648.000000,	244.111719
156672.000000,	244.249766
157696.000000,	244.642344
158720.000000,	244.645859
159744.000000,	244.910391
160768.000000,	245.033047
161792.000000,	245.392578
162816.000000,	245.623437
163840.000000,	245.840156
164864.000000,	245.992734
165888.000000,	246.196641
166912.000000,	246.420156
167936.000000,	246.477031
168960.000000,	246.745391
169984.000000,	246.878203
171008.000000,	247.041797
172032.000000,	247.240078
173056.000000,	247.171250
174080.000000,	247.458203
175104.000000,	247.547422
176128.000000,	247.717266
177152.000000,	247.907656
178176.000000,	247.933906
179200.000000,	248.178906
180224.000000,	248.213437
181248.000000,	248.227422
182272.000000,	248.410547
183296.000000,	248.429844
184320.000000,	248.497656
185344.000000,	248.641875
186368.000000,	248.665000
187392.000000,	248.831641
188416.000000,	248.996484
189440.000000,	248.898516
190464.000000,	249.111016
191488.000000,	249.070469
192512.000000,	249.387500
193536.000000,	249.299922
194560.000000,	249.582031
195584.000000,	249.632344
196608.000000,	249.819063
197632.000000,	249.908281
198656.000000,	250.038359
199680.000000,	249.932656
200704.000000,	250.128047
201728.000000,	250.039844
202752.000000,	250.218984
203776.000000,	250.304297
204800.000000,	250.398359
205824.000000,	250.399453
206848.000000,	250.382578
207872.000000,	250.511172
208896.000000,	250.431875
209920.000000,	250.519297
210944.000000,	250.630313
211968.000000,	250.602891
212992.000000,	250.749531
214016.000000,	250.725313
215040.000000,	250.689609
216064.000000,	250.742813
217088.000000,	250.781719
218112.000000,	250.873906
219136.000000,	250.901094
220160.000000,	250.786094
221184.000000,	251.053125
222208.000000,	251.023125
223232.000000,	251.123672
224256.000000,	251.006875
225280.000000,	250.974375
226304.000000,	251.165078
227328.000000,	251.006563
228352.000000,	251.080781
229376.000000,	251.022891
230400.000000,	251.031016
231424.000000,	251.158828
232448.000000,	251.126953
233472.000000,	251.173047
234496.000000,	251.052109
235520.000000,	251.035547
236544.000000,	251.159219
237568.000000,	251.126875
238592.000000,	251.188750
239616.000000,	251.318281
240640.000000,	251.247187
241664.000000,	251.273594
242688.000000,	251.214297
243712.000000,	251.234844
244736.000000,	251.140391
245760.000000,	251.299062
246784.000000,	251.251875
247808.000000,	251.180625
248832.000000,	251.283594
249856.000000,	251.258438
250880.000000,	251.205938
251904.000000,	251.346484
252928.000000,	251.337891
253952.000000,	251.375703
254976.000000,	251.464687
256000.000000,	251.403203
257024.000000,	251.431250
258048.000000,	251.380234
259072.000000,	251.243984
260096.000000,	251.433281
